Sat Feb 23 13:55:59 +0000 2019,venkat329328,b'@Introvert_PK Posted... \nhttps://t.co/oqQaA7FYtC'
Sat Feb 23 13:55:59 +0000 2019,venkat329328,b'@Rockmotor3 Posted... \nhttps://t.co/B0byUTRn66'
Sat Feb 23 13:56:00 +0000 2019,venkat329328,b'@SantoshUriti Posted... \nhttps://t.co/WF3ZYmA6QP'
Sat Feb 23 13:56:06 +0000 2019,Kiranpawan10,b'RT @JanaSenaParty:       - JanaSena Chief @PawanKalyan https://t.co/9kllwDKHAR'
Sat Feb 23 13:56:21 +0000 2019,Powerstarascb,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 13:56:24 +0000 2019,SriVijayaNagesh,"b'""  \n    \n   \n https://t.co/vl4Ocbmf0P'"
Sat Feb 23 13:56:24 +0000 2019,KubyPrasad,b'RT @DeviKuby: .......\n \nI Love india \nI Love janasena \nJai Hind\n@PasagadaPRASHAD \n@JSPShatagniTeam \n@PawanKalyan'
Sat Feb 23 13:56:46 +0000 2019,SunilVeera31,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 13:56:56 +0000 2019,Powerstarascb,"b'RT @JanaSenaParty: JanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp    , . ht'"
Sat Feb 23 13:56:57 +0000 2019,Haribab31977973,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 13:56:58 +0000 2019,Sivamaradana6,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 13:57:28 +0000 2019,krishkrishna887,b'RT @TeluguChegu:  @IrfanPathan says jai janasena https://t.co/ojXzhzhuIJ'
Sat Feb 23 13:57:52 +0000 2019,BigBossTelugu3,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 13:58:05 +0000 2019,Surya891995,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
