"""#TDP_KwonYuri: Mention gue krik krik mencen dong'-')/"""
""
"""#TheSherni: RT @Leopard212: A few days ago, a TDP MP called for a separate country.\n\nToday, actor Kamal Hassan forms a new party, and calls his symbol..."""
""
""
"""#partha_itz: RT @Leopard212: A few days ago, a TDP MP called for a separate country.\n\nToday, actor Kamal Hassan forms a new party, and calls his symbol..."""
""
""
"""#Rye_sahh: RT @QuaceyMUFC: *STOLEN VEHICLE ALERT*\n\n*TDP 4926*\n\n*SILVER NISSAN FRONTIER/NAVARA*\n\nPlease be on the look out for a silver Nissan Frontier..."""
""
""
"""#Kumar06005912: RT @Darling_JSP: @JanaSenaBSU TDP &amp; YCP vallu 20years varaku kurchoni tinna taragani Asti kuda bettukunnaru...\nAyina vallaki Special Status..."""
""
""
"""#Mahatma_Kodiyar: Andhra's 'Special Status' betrayal: Why both BJP and TDP are culpable | by Tara Krishna Swamy who is a member of JF... https://t.co/YKzR8OmZ5i"""
""
""
""
"""#AtoItoEto: ?????????: ?????????? ???????????? https://t.co/MlfLD82CeG"""
""
""
""
""
"""#ohjwar: RT @eddybruckshot: Listen to Fill My Cup Up (Prod. TDP) Ft. NoGumHundo &amp; Eddy Bruckshot by ThatsMySA #np on #SoundCloud https://t.co/hdqA5B..."""
""
"""#Davies_Project: New and veteran drivers at monthly TDP coffee at Flap Jack Shack.  #thedaviesproject #lovelansing https://t.co/r5GTrogNsa"""
""
"""#ManvithT: RT @MVramarao12: @RaoGopalaRao_ @PyaKagi @ncbn @PawanKalyan @JP_LOKSATTA @ysjagan Aa TDP party adhinayakaudu Ara lacha ekaralu mingithe Kan..."""
""
"""#ManvithT: RT @RaoGopalaRao_: TDP ante padani konthamandi kalyan babu fans ni kuda, TDP ni okka mata kuda ananivvakunda kapade vallala chesina ganatha..."""
""
"""#ManvithT: RT @Vivek_Janasena: @RaoGopalaRao_ @PawanKalyan Adem ledu bro.pawankalyan ni follow aye valle antha.\nFew TDP musugu batch is der wid kalyan..."""
""
