"#ysrcp#"
"""#Bharatt19: RT @lasaniayunus: NRIs in various countries join the 1000 Km celebration of the Praja Sankalpa Yatra, a 3000 km padayatra undertaken by YSR..."""
""
""
"""#AAMahesh3: RT @YSJaganFan_s: Our Trend Regarding @ysjagan Anna Padayatra Will Starts from 7pm Tomorrow !\nEvery Jagan fan Participate and make it big..."""
""
"""#Faastupdate: https://t.co/g6M85FA3cl #PrajaSankalpaYatra #JaganSpeaks #AndhraPradesh \n#Andhra #YSRCP #YSR #YS #TDP \n???????????... https://t.co/tGTPuXAviB"""
""
"""#MinnuKota381: RT @PawanKalyan: Both ruling TDP - BJP &amp; opposition YSRCP instead of mud slinging on each other they should come together &amp; find a way to d..."""
""
"""#PUTIN_theGreat: @APISSUES @Veeru23mayee @4ever_JSP We have to wait and see...and u have to remember ..he lauded ysrcp MP's when the... https://t.co/mVdkNEmDex"""
""
"""#PUTIN_theGreat: @APISSUES @Veeru23mayee @4ever_JSP We have to wait and see...and u have to remember ..he lauded ysrcp MP's when the... https://t.co/KEF1sGGz0f"""
""
"""#SMuzahiddin: RT @RishikaSadam: Quite interesting to see the support for Jagan from the NRI community. Amidst Jagan's walkathon, NRIs in different countr..."""
""
"""#akhil11411: @greatandhranews @PawanKalyan @JanaSenaParty @YSRCParty @JaiTDP YSRCP LO PARTY PRESIDENT DAGGARA NUNCHI PARTY PEON... https://t.co/PaJy1zR1Dp"""
""
"""#rahulre70094127: @Kittu_PK @Veeru23mayee Andhra vallu unna Chota matrame poti pettindhi migtha konni chotla matram dummy candidates... https://t.co/QPTIJBydbm"""
""
"""#rahulre70094127: @Kittu_PK @Veeru23mayee Ysrcp ki chala clarity undi adhi seemaandhra party ani , Kani Cong party TG lo undhi AP lo... https://t.co/VgWaLknoYo"""
""
"""#Nagarjunagoud72: @KazaVk YSRCP VYABHICHARA PARTY LO 98.9% VYABHICHARA LANJAKODUKU LE UNNARU. ILANTI  VYABHICHARA PANULU CHEYATAM  VAALLAKI  CHINNA VISHYAM."""
""
"""#intellisurfer: Tale of bad options. TN: DMK or AIADMK. Kerala: LDF or UDF. AP: TDP or YSRCP. WB: TMC or CPI(M)."""
""
"""#BEBBULI1985: RT @UrsNekkanti: TDP+Janasena Vs BJP+YSRCP in 2019? #AP"""
""
"""#ALearnerAlways: @legend_celeb @taruns_ Twitter  ysrcp wing president anukunta"""
""
"""#breddyinduri: RT @YSJaganFan_s: Our Trend Regarding @ysjagan Anna Padayatra Will Starts from 7pm Tomorrow !\nEvery Jagan fan Participate and make it big..."""
""
""
"""#sivareddykundur: RT @YSJaganFan_s: Our Trend Regarding @ysjagan Anna Padayatra Will Starts from 7pm Tomorrow !\nEvery Jagan fan Participate and make it big..."""
""
""
"""#ursTrulyvikramr: @krishna_zz @Sarath1111111 Vadu oka lafoot gadu politics lo Chiru nakipoiadu kabbati pk kuda nakipovali anukune typ... https://t.co/R5T5pIvbji"""
""
""
"""#Appalanaidu4545: RT @YSJaganFan_s: Our Trend Regarding @ysjagan Anna Padayatra Will Starts from 7pm Tomorrow !\nEvery Jagan fan Participate and make it big..."""
""
"""#Krishnapyreddy: RT @NakkaDorababu: ????????? ?????? ???? ????????????????  1000 ????????????? ????? ???????? ????????? ?? ?????? ????????? #WalkWithJaganAn..."""
""
"""#NeelimaChow85: RT @TanukuYsrcp: ????? ?????????? ??.???.???.??.?? ??-??????????\n????. #???????? #????? #???????????? ????\n#PrajasankalpaYatra\n#WalkwithJag..."""
""
