True man of ap not like others.
If you interview some one give him some respect him call him pawan Kalyan Garu or Mr pls......
Pawankalyan is real leader
he is our real god
Jai PAVAN KALYAN ANNA
Jai janasena party
Not only cm he will will rule this country he is pm
only one honest and genuine leader in Andhra Pradesh.
He is a real leader Pawan kalyan
"Pawan Kalyan has a swarm of insane, intense fans in andhra and telangana... He failed at controlling their nuisance, and he doesn't address the direct accusations against him..he said nothing about Sri reddy, nothing specially about a specific political management plan...god! STOP MAKING BLANK ACCUSATIONS LIKE EVERYONE ELSE!"
✡️✡️✡️✡️✡️✡️✡️✡️✡️
He is the Truth leader
In andhra Pradesh main voteing will don on cast basis now this time the people of Andhra Pradesh have to change.....vote for good leader....
Love u Pawan Kalyan
Pawan Kalyan is Andhra Pradesh next cm
"One & only leader can save the state
That is CBN 
Architect of Cyberabad"
"Pawan sold out to BJP

If he has evidence he can move to Court
All of sudden how can he made  allegations
Very unfortunate 
Leaders are playing Politics
With the help of  caste tool"
Mr. Pavan you have not answer to Mr.Srivastav question. DO  YOU HAVE ANY PROOF'S ALLEGATIONS WHAT YOU MADE ON CM'S SON LOKESH? Can you answer that question you fool.
To be honest I was a Loksatta(JP) member earlier. Seeing CBN's hardwork and dedication towards AP development attracted me. At this age he is working like 28 years young. I m not requesting people of AP to vote for CBN. I will leave it to your Karma. Decide who you want? One bad decission will change your life upside down. Dont vote for criminals and 420's. beware and be vigilant.
Pavan will be doing the right thing if he doesn't join hands with BJP. lt is because people of AP are totally against BJP. They have cheated and looked down on Telugus .
"Power star pawan kalyan is nv the true , honesty and fear less leader in india, he is questioning directly to any corrupted leader. Salute pawan kalyan garu.. we r support him.. jai hind"
That anchor is having orgasm when Pawan was saying he will not be with bjp
Meeru mp ki contest cheyyandi
he is the hope of andhra pradesh
"money, power, media n politics in AP are concentric and are in the clutches of two groups only...... Pawan Kalyan with communists is the only hope of AP people .."
He is future for AP
Yes he is genuine leader......love u Pawan Kalyan
He is the only real leader in a.p. true leader next c.m
jai janasena jai pk
Pk is honest
True Leader and 5 cr's people's hope...Jai Pawankalyan... Jai Janasena
super
Jai p s p k
"y dont u show the counters and truths given by cbn n lokesh. and ask him about operation garuda so far done and being done by jsn, ysr n bjp"
Pavan Kalyan. n his fans don't know the difference between life and movie
"He is not new to political arena and making these kind of statements. He did same when his brother started PRP and later merged with Congress. He now started something of his own and merged with BJP. He has no stance, except rhetoric which adds value to his bargain. He runs a social media army for 2 objectives. 1. Go after whoever exposes his true nature 2. popularize him in public. He takes names like Che, Castro, all national, international leaders depending on situation but when anyone questions about his values, he escapes and tell its personal attack. He tells he bought a land for 40lakhs where it sells over 6-7cr and gives evidence of registration value, like any other citizen, leader. If you are honest, tell the truth. This man has no ethics nor morals. People have decided to bring Jagan to power no matter what."
Honest person i ever saw
Anchor not giving​ good respect to our star.his Craze you don't know
A true leader !!!
Next cm cbn
"chiranjeevi,pawankalyan lionS"
Last 4 years his silent... but his raising becoz of elections are cmg soon...
Pawan
